species_id,name_ja,type1,type2,base_atk,base_def,base_sta,fast_moves,charge_moves,tags,elitefast,elitecharge,evolves_to,evolves_from,generation,dex
wartortle,カメール,water,,126,155,153,"water_gun_fast,bite_fast","aqua_jet,ice_beam,hydro_pump",,,,BLASTOISE,SQUIRTLE,1.0,8
wartortle_normal,カメール,water,,126,155,153,"water_gun_fast,bite_fast","aqua_jet,ice_beam,hydro_pump",wartortle_normal,,,,,,8
blastoise,カメックス,water,,171,207,188,"water_gun_fast,bite_fast,rollout_fast","flash_cannon,ice_beam,hydro_pump,skull_bash",,,hydro_cannon,,WARTORTLE,1.0,9
blastoise_copy_2019,カメックス,water,,171,207,188,"water_gun_fast,bite_fast,rollout_fast","flash_cannon,ice_beam,hydro_pump,skull_bash",blastoise_copy_2019,,,,,,9
blastoise_normal,カメックス,water,,171,207,188,"water_gun_fast,bite_fast,rollout_fast","flash_cannon,ice_beam,hydro_pump,skull_bash",blastoise_normal,,,,,,9
caterpie,キャタピー,bug,,55,55,128,"bug_bite_fast,tackle_fast",struggle,,,,METAPOD,,1.0,10
caterpie_normal,キャタピー,bug,,55,55,128,"bug_bite_fast,tackle_fast",struggle,caterpie_normal,,,,,1.0,10
metapod,トランセル,bug,,45,80,137,"bug_bite_fast,tackle_fast",struggle,,,,BUTTERFREE,CATERPIE,1.0,11
metapod_normal,トランセル,bug,,45,80,137,"bug_bite_fast,tackle_fast",struggle,metapod_normal,,,,,,11
butterfree,バタフリー,bug,flying,167,137,155,"struggle_bug_fast,confusion_fast","bug_buzz,psychic,signal_beam",,bug_bite_fast,,,METAPOD,1.0,12
butterfree_normal,バタフリー,bug,flying,167,137,155,"struggle_bug_fast,confusion_fast","bug_buzz,psychic,signal_beam",butterfree_normal,,,,,1.0,12
weedle,ビードル,bug,poison,63,50,120,"bug_bite_fast,poison_sting_fast",struggle,,,,KAKUNA,,1.0,13
weedle_normal,ビードル,bug,poison,63,50,120,"bug_bite_fast,poison_sting_fast",struggle,weedle_normal,,,,,,13
kakuna,コクーン,bug,poison,46,75,128,"bug_bite_fast,poison_sting_fast",struggle,,,,BEEDRILL,WEEDLE,1.0,14
kakuna_normal,コクーン,bug,poison,46,75,128,"bug_bite_fast,poison_sting_fast",struggle,kakuna_normal,,,,,,14
beedrill,スピアー,bug,poison,169,130,163,"infestation_fast,poison_jab_fast,poison_sting_fast","sludge_bomb,aerial_ace,x_scissor,fell_stinger",,bug_bite_fast,drill_run,,KAKUNA,1.0,15
beedrill_normal,スピアー,bug,poison,169,130,163,"infestation_fast,poison_jab_fast,poison_sting_fast","sludge_bomb,aerial_ace,x_scissor,fell_stinger",beedrill_normal,,,,,,15
pidgey,ポッポ,normal,flying,85,73,120,"quick_attack_fast,tackle_fast","twister,aerial_ace,air_cutter",,,,PIDGEOTTO,,1.0,16
pidgey_normal,ポッポ,normal,flying,85,73,120,"quick_attack_fast,tackle_fast","twister,aerial_ace,air_cutter",pidgey_normal,,,,,,16
pidgeotto,ピジョン,normal,flying,117,105,160,"wing_attack_fast,steel_wing_fast","twister,aerial_ace,air_cutter",,,,PIDGEOT,PIDGEY,1.0,17
pidgeotto_normal,ピジョン,normal,flying,117,105,160,"wing_attack_fast,steel_wing_fast","twister,aerial_ace,air_cutter",pidgeotto_normal,,,,,,17
pidgeot,ピジョット,normal,flying,166,154,195,"air_slash_fast,steel_wing_fast","hurricane,aerial_ace,brave_bird,feather_dance,heat_wave",,"wing_attack_fast,gust_fast",air_cutter,,PIDGEOTTO,1.0,18
pidgeot_normal,ピジョット,normal,flying,166,154,195,"air_slash_fast,steel_wing_fast","hurricane,aerial_ace,brave_bird,feather_dance,heat_wave",pidgeot_normal,,,,,,18
rattata,コラッタ,normal,,103,70,102,"tackle_fast,quick_attack_fast","dig,hyper_fang,body_slam",,,,RATICATE,,1.0,19
rattata_alola,コラッタ,dark,normal,103,70,102,"tackle_fast,quick_attack_fast","crunch,hyper_fang,shadow_ball",rattata_alola,,,,,,19
rattata_normal,コラッタ,normal,,103,70,102,"tackle_fast,quick_attack_fast","dig,hyper_fang,body_slam",rattata_normal,,,,,,19
raticate,ラッタ,normal,,161,139,146,"bite_fast,quick_attack_fast","dig,hyper_fang,hyper_beam",,,,,RATTATA,1.0,20
raticate_alola,ラッタ,dark,normal,135,154,181,"bite_fast,quick_attack_fast","crunch,hyper_fang,hyper_beam",raticate_alola,,,,,,20
raticate_normal,ラッタ,normal,,161,139,146,"bite_fast,quick_attack_fast","dig,hyper_fang,hyper_beam",raticate_normal,,,,,,20
spearow,オニスズメ,normal,flying,112,60,120,"peck_fast,quick_attack_fast","aerial_ace,drill_peck,sky_attack",,,twister,FEAROW,,1.0,21
spearow_normal,オニスズメ,normal,flying,112,60,120,"peck_fast,quick_attack_fast","aerial_ace,drill_peck,sky_attack",spearow_normal,,,,,,21
fearow,オニドリル,normal,flying,182,133,163,"peck_fast,steel_wing_fast","aerial_ace,drill_run,sky_attack,fly,drill_peck",,,twister,,SPEAROW,1.0,22
fearow_normal,オニドリル,normal,flying,182,133,163,"peck_fast,steel_wing_fast","aerial_ace,drill_run,sky_attack,fly,drill_peck",fearow_normal,,,,,,22
ekans,アーボ,poison,,110,97,111,"poison_sting_fast,acid_fast","wrap,poison_fang,sludge_bomb",,,gunk_shot,ARBOK,,1.0,23
ekans_normal,アーボ,poison,,110,97,111,"poison_sting_fast,acid_fast","wrap,poison_fang,sludge_bomb",ekans_normal,,,,,,23
arbok,アーボック,poison,,167,153,155,"bite_fast,acid_fast,dragon_tail_fast,poison_sting_fast","dark_pulse,sludge_wave,gunk_shot,acid_spray",,,,,EKANS,1.0,24
arbok_normal,アーボック,poison,,167,153,155,"bite_fast,acid_fast,dragon_tail_fast,poison_sting_fast","dark_pulse,sludge_wave,gunk_shot,acid_spray",arbok_normal,,,,,,24
pikachu,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",,present_fast,"surf,thunder",,PICHU,1.0,25
pikachu_adventure_hat_2020,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_adventure_hat_2020,,,,,,25
pikachu_copy_2019,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_copy_2019,,,,,,25
pikachu_costume_2020,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_costume_2020,,,,,,25
pikachu_diwali_2024,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_diwali_2024,,,,,,25
pikachu_doctor,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,charm_fast","thunder_punch,play_rough",pikachu_doctor,,,,,,25
pikachu_fall_2019,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_fall_2019,,,,,,25
pikachu_flying_01,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_01,,,,,,25
pikachu_flying_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_02,,,,,,25
pikachu_flying_03,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_03,,,,,,25
pikachu_flying_04,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_04,,,,,,25
pikachu_flying_5th_anniv,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_5th_anniv,,,,,,25
pikachu_flying_okinawa,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge,fly",pikachu_flying_okinawa,,,,,,25
pikachu_gofest_2022,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2022,,,,,,25
pikachu_gofest_2024_mtiara,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2024_mtiara,,,,,,25
pikachu_gofest_2024_stiara,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2024_stiara,,,,,,25
pikachu_gofest_2025_goggles_blue,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_goggles_blue,,,,,,25
pikachu_gofest_2025_goggles_red,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_goggles_red,,,,,,25
pikachu_gofest_2025_goggles_yellow,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_goggles_yellow,,,,,,25
pikachu_gofest_2025_monocle_blue,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_monocle_blue,,,,,,25
pikachu_gofest_2025_monocle_red,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_monocle_red,,,,,,25
pikachu_gofest_2025_monocle_yellow,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gofest_2025_monocle_yellow,,,,,,25
pikachu_gotour_2024_a,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2024_a,,,,,,25
pikachu_gotour_2024_a_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2024_a_02,,,,,,25
pikachu_gotour_2024_b,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2024_b,,,,,,25
pikachu_gotour_2024_b_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2024_b_02,,,,,,25
pikachu_gotour_2025_a,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2025_a,,,,,,25
pikachu_gotour_2025_a_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2025_a_02,,,,,,25
pikachu_gotour_2025_b,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2025_b,,,,,,25
pikachu_gotour_2025_b_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_gotour_2025_b_02,,,,,,25
pikachu_horizons,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_horizons,,,,,,25
pikachu_jeju,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_jeju,,,,,,25
pikachu_kariyushi,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_kariyushi,,,,,,25
pikachu_kurta,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_kurta,,,,,,25
pikachu_normal,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_normal,,,,,,25
pikachu_pop_star,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,charm_fast","draining_kiss,thunder_punch,play_rough",pikachu_pop_star,,,,,,25
pikachu_rock_star,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,charm_fast","meteor_mash,thunder_punch,play_rough",pikachu_rock_star,,,,,,25
pikachu_summer_2023_a,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_summer_2023_a,,,,,,25
pikachu_summer_2023_b,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_summer_2023_b,,,,,,25
pikachu_summer_2023_c,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_summer_2023_c,,,,,,25
pikachu_summer_2023_d,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_summer_2023_d,,,,,,25
pikachu_summer_2023_e,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_summer_2023_e,,,,,,25
pikachu_tshirt_01,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_tshirt_01,,,,,,25
pikachu_tshirt_02,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_tshirt_02,,,,,,25
pikachu_tshirt_03,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_tshirt_03,,,,,,25
pikachu_vs_2019,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,charm_fast","flying_press,thunder_punch,play_rough",pikachu_vs_2019,,,,,,25
pikachu_wcs_2022,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_wcs_2022,,,,,,25
pikachu_wcs_2023,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_wcs_2023,,,,,,25
pikachu_wcs_2024,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_wcs_2024,,,,,,25
pikachu_winter_2020,ピカチュウ,electric,,112,96,111,"thunder_shock_fast,quick_attack_fast","discharge,thunderbolt,wild_charge",pikachu_winter_2020,,,,,,25
raichu,ライチュウ,electric,,193,151,155,"volt_switch_fast,spark_fast,charm_fast,thunder_shock_fast","brick_break,thunder_punch,wild_charge,skull_bash,trailblaze,surf",,,thunder,,,1.0,26
raichu_alola,ライチュウ,electric,psychic,201,154,155,"volt_switch_fast,spark_fast,thunder_shock_fast","psychic,thunder_punch,wild_charge,grass_knot,trailblaze,surf,psyshock",raichu_alola,,,,,,26
raichu_normal,ライチュウ,electric,,193,151,155,"volt_switch_fast,spark_fast,charm_fast,thunder_shock_fast","brick_break,thunder_punch,wild_charge,skull_bash,trailblaze,surf",raichu_normal,,,,,,26
sandshrew,サンド,ground,,126,120,137,"scratch_fast,mud_shot_fast,sand_attack_fast","dig,rock_slide,sand_tomb",,,rock_tomb,SANDSLASH,,1.0,27
sandshrew_alola,サンド,ice,steel,125,129,137,"metal_claw_fast,powder_snow_fast","blizzard,gyro_ball,night_slash",sandshrew_alola,,,,,,27
sandshrew_normal,サンド,ground,,126,120,137,"scratch_fast,mud_shot_fast,sand_attack_fast","dig,rock_slide,sand_tomb",sandshrew_normal,,,,,,27
sandslash,サンドパン,ground,,182,175,181,"metal_claw_fast,mud_shot_fast,sand_attack_fast","earthquake,rock_tomb,bulldoze,scorching_sands",,,night_slash,,SANDSHREW,1.0,28
sandslash_alola,サンドパン,ice,steel,177,195,181,"metal_claw_fast,powder_snow_fast","blizzard,gyro_ball,bulldoze,ice_punch,drill_run,aerial_ace",sandslash_alola,,,,,,28
sandslash_normal,サンドパン,ground,,182,175,181,"metal_claw_fast,mud_shot_fast,sand_attack_fast","earthquake,rock_tomb,bulldoze,scorching_sands",sandslash_normal,,,,,,28
nidoran_female,ニドラン(♀),poison,,86,89,146,"bite_fast,poison_sting_fast","poison_fang,body_slam,sludge_bomb",,,,NIDORINA,,1.0,
nidoran_normal,ニドラン(♀),poison,,86,89,146,"bite_fast,poison_sting_fast","poison_fang,body_slam,sludge_bomb",nidoran_normal,,,,,,32
nidorina,ニドリーナ,poison,,117,120,172,"bite_fast,poison_sting_fast","poison_fang,dig,sludge_bomb,thunderbolt",,,,NIDOQUEEN,NIDORAN_FEMALE,1.0,30
nidorina_normal,ニドリーナ,poison,,117,120,172,"bite_fast,poison_sting_fast","poison_fang,dig,sludge_bomb,thunderbolt",nidorina_normal,,,,,,30
nidoqueen,ニドクイン,poison,ground,180,173,207,"poison_jab_fast,bite_fast,poison_sting_fast,mud_slap_fast","earthquake,sludge_wave,stone_edge,earth_power,poison_fang",,,,,NIDORINA,1.0,31
nidoqueen_normal,ニドクイン,poison,ground,180,173,207,"poison_jab_fast,bite_fast,poison_sting_fast,mud_slap_fast","earthquake,sludge_wave,stone_edge,earth_power,poison_fang",nidoqueen_normal,,,,,,31
nidoran_male,ニドラン(♂),poison,,105,76,130,"peck_fast,poison_sting_fast","horn_attack,body_slam,sludge_bomb",,,,NIDORINO,,1.0,
nidorino,ニドリーノ,poison,,137,111,156,"poison_jab_fast,poison_sting_fast","horn_attack,dig,sludge_bomb,ice_beam",,,,NIDOKING,NIDORAN_MALE,1.0,33
nidorino_normal,ニドリーノ,poison,,137,111,156,"poison_jab_fast,poison_sting_fast","horn_attack,dig,sludge_bomb,ice_beam",nidorino_normal,,,,,,33
nidoking,ニドキング,poison,ground,204,156,191,"poison_jab_fast,iron_tail_fast,double_kick_fast,poison_sting_fast","earthquake,sludge_wave,megahorn,earth_power,sand_tomb",,fury_cutter_fast,,,NIDORINO,1.0,34
nidoking_normal,ニドキング,poison,ground,204,156,191,"poison_jab_fast,iron_tail_fast,double_kick_fast,poison_sting_fast","earthquake,sludge_wave,megahorn,earth_power,sand_tomb",nidoking_normal,,,,,,34
clefairy,ピッピ,fairy,,107,108,172,"pound_fast,zen_headbutt_fast","disarming_voice,body_slam,moonblast,swift",,,,CLEFABLE,CLEFFA,1.0,35
clefairy_normal,ピッピ,fairy,,107,108,172,"pound_fast,zen_headbutt_fast","disarming_voice,body_slam,moonblast,swift",clefairy_normal,,,,,,35
clefable,ピクシー,fairy,,178,162,216,"charge_beam_fast,zen_headbutt_fast,charm_fast,fairy_wind_fast","dazzling_gleam,psychic,moonblast,meteor_mash,swift,draining_kiss",,pound_fast,,,CLEFAIRY,1.0,36
clefable_normal,ピクシー,fairy,,178,162,216,"charge_beam_fast,zen_headbutt_fast,charm_fast,fairy_wind_fast","dazzling_gleam,psychic,moonblast,meteor_mash,swift,draining_kiss",clefable_normal,,,,,,36
vulpix,ロコン,fire,,96,109,116,"quick_attack_fast,ember_fast","body_slam,flamethrower,flame_charge,weather_ball_fire",,,,NINETALES,,1.0,37
vulpix_alola,ロコン,ice,,96,109,116,"zen_headbutt_fast,powder_snow_fast","dark_pulse,ice_beam,blizzard,weather_ball_ice",vulpix_alola,,,,,,37
vulpix_normal,ロコン,fire,,96,109,116,"quick_attack_fast,ember_fast","body_slam,flamethrower,flame_charge,weather_ball_fire",vulpix_normal,,,,,,37
ninetales,キュウコン,fire,,169,190,177,"feint_attack_fast,fire_spin_fast","heat_wave,overheat,solar_beam,psyshock,weather_ball_fire,scorching_sands",,ember_fast,"fire_blast,flamethrower,energy_ball",,VULPIX,1.0,38
ninetales_alola,キュウコン,ice,fairy,170,193,177,"feint_attack_fast,powder_snow_fast,charm_fast","dazzling_gleam,ice_beam,blizzard,psyshock,weather_ball_ice",ninetales_alola,,,,,,38
ninetales_normal,キュウコン,fire,,169,190,177,"feint_attack_fast,fire_spin_fast","heat_wave,overheat,solar_beam,psyshock,weather_ball_fire,scorching_sands",ninetales_normal,,,,,,38
jigglypuff,プリン,normal,fairy,80,41,251,"pound_fast,feint_attack_fast","disarming_voice,gyro_ball,dazzling_gleam,swift",,,"play_rough,body_slam",WIGGLYTUFF,IGGLYBUFF,,39
jigglypuff_normal,プリン,normal,fairy,80,41,251,"pound_fast,feint_attack_fast","disarming_voice,gyro_ball,dazzling_gleam,swift",jigglypuff_normal,,,,,1.0,39
wigglytuff,プクリン,normal,fairy,156,90,295,"pound_fast,feint_attack_fast,charm_fast","dazzling_gleam,hyper_beam,play_rough,ice_beam,disarming_voice,icy_wind,swift",,,,,JIGGLYPUFF,1.0,40
wigglytuff_normal,プクリン,normal,fairy,156,90,295,"pound_fast,feint_attack_fast,charm_fast","dazzling_gleam,hyper_beam,play_rough,ice_beam,disarming_voice,icy_wind,swift",wigglytuff_normal,,,,,,40
zubat,ズバット,poison,flying,83,73,120,"quick_attack_fast,bite_fast","poison_fang,air_cutter,swift",,,sludge_bomb,GOLBAT,,1.0,41
zubat_normal,ズバット,poison,flying,83,73,120,"quick_attack_fast,bite_fast","poison_fang,air_cutter,swift",zubat_normal,,,,,,41
golbat,ゴルバット,poison,flying,161,150,181,"wing_attack_fast,bite_fast","shadow_ball,air_cutter,poison_fang",,,ominous_wind,CROBAT,ZUBAT,1.0,42
golbat_normal,ゴルバット,poison,flying,161,150,181,"wing_attack_fast,bite_fast","shadow_ball,air_cutter,poison_fang",golbat_normal,,,,,,42
oddish,ナゾノクサ,grass,poison,131,112,128,"razor_leaf_fast,acid_fast","seed_bomb,sludge_bomb,moonblast",,,,GLOOM,,1.0,43
oddish_normal,ナゾノクサ,grass,poison,131,112,128,"razor_leaf_fast,acid_fast","seed_bomb,sludge_bomb,moonblast",oddish_normal,,,,,,43
gloom,クサイハナ,grass,poison,153,136,155,"razor_leaf_fast,acid_fast","petal_blizzard,sludge_bomb,moonblast",,,,"VILEPLUME,BELLOSSOM",ODDISH,1.0,44
gloom_normal,クサイハナ,grass,poison,153,136,155,"razor_leaf_fast,acid_fast","petal_blizzard,sludge_bomb,moonblast",gloom_normal,,,,,,44
vileplume,ラフレシア,grass,poison,202,167,181,"razor_leaf_fast,acid_fast","petal_blizzard,solar_beam,moonblast,sludge_bomb",,,,,GLOOM,1.0,45
vileplume_normal,ラフレシア,grass,poison,202,167,181,"razor_leaf_fast,acid_fast","petal_blizzard,solar_beam,moonblast,sludge_bomb",vileplume_normal,,,,,,45
paras,パラス,bug,grass,121,99,111,"scratch_fast,bug_bite_fast","cross_poison,x_scissor,seed_bomb",,,,PARASECT,,1.0,46
paras_normal,パラス,bug,grass,121,99,111,"scratch_fast,bug_bite_fast","cross_poison,x_scissor,seed_bomb",paras_normal,,,,,,46
parasect,パラセクト,bug,grass,165,146,155,"struggle_bug_fast,fury_cutter_fast","cross_poison,x_scissor,solar_beam",,bug_bite_fast,,,PARAS,1.0,47
parasect_normal,パラセクト,bug,grass,165,146,155,"struggle_bug_fast,fury_cutter_fast","cross_poison,x_scissor,solar_beam",parasect_normal,,,,,,47
venonat,コンパン,bug,poison,100,100,155,"bug_bite_fast,confusion_fast","poison_fang,psybeam,signal_beam",,,,VENOMOTH,,1.0,48
venonat_normal,コンパン,bug,poison,100,100,155,"bug_bite_fast,confusion_fast","poison_fang,psybeam,signal_beam",venonat_normal,,,,,,48
venomoth,モルフォン,bug,poison,179,143,172,"infestation_fast,confusion_fast,psywave_fast","silver_wind,psychic,bug_buzz,poison_fang",,bug_bite_fast,,,VENONAT,1.0,49
venomoth_normal,モルフォン,bug,poison,179,143,172,"infestation_fast,confusion_fast,psywave_fast","silver_wind,psychic,bug_buzz,poison_fang",venomoth_normal,,,,,,49
diglett,ディグダ,ground,,109,78,67,"mud_slap_fast,scratch_fast,mud_shot_fast","dig,mud_bomb,rock_tomb",,,,DUGTRIO,,1.0,50
diglett_alola,ディグダ,ground,steel,108,81,67,"mud_slap_fast,metal_claw_fast,sand_attack_fast","dig,mud_bomb,rock_tomb",diglett_alola,,,,,,50
diglett_normal,ディグダ,ground,,109,78,67,"mud_slap_fast,scratch_fast,mud_shot_fast","dig,mud_bomb,rock_tomb",diglett_normal,,,,,,50
dugtrio,ダグトリオ,ground,,167,134,111,"sucker_punch_fast,mud_slap_fast,mud_shot_fast","earthquake,mud_bomb,stone_edge",,,,,DIGLETT,1.0,51
