move_id,name_ja,type,category,power,energy,turns
low_sweep,ローキック,fighting,charge,40.0,-40,
brick_break,かわらわり,fighting,charge,50.0,-40,
close_combat,インファイト,fighting,charge,100.0,-45,
dynamic_punch,ばくれつパンチ,fighting,charge,90.0,-45,
focus_blast,きあいだま,fighting,charge,150.0,-75,
super_power,ばかじから,fighting,charge,85.0,-40,
drain_punch,ドレインパンチ,fighting,charge,40.0,-40,
power_up_punch,グロウパンチ,fighting,charge,20.0,-35,
sacred_sword,せいなるつるぎ,fighting,charge,60.0,-35,
flying_press,フライングプレス,fighting,charge,90.0,-40,
aura_sphere,はどうだん,fighting,charge,80.0,-40,
high_jump_kick,とびひざげり,fighting,charge,110.0,-55,
upper_hand,はやてがえし,fighting,charge,70.0,-40,
secret_sword,しんぴのつるぎ,fighting,charge,70.0,-35,
low_kick_fast,けたぐり,fighting,fast,5,8,2
karate_chop_fast,からてチョップ,fighting,fast,5.0,9,2
rock_smash_fast,いわくだき,fighting,fast,9.0,7,3
counter_fast,カウンター,fighting,fast,8.0,6,2
double_kick_fast,にげどり,fighting,fast,8.0,12,3
force_palm_fast,はっけい,fighting,fast,13.0,10,3
flame_wheel,かえんぐるま,fire,charge,80.0,-45,
flamethrower,かえんほうしゃ,fire,charge,90.0,-55,
heat_wave,ねっぷう,fire,charge,75.0,-65,
flame_charge,ニトロチャージ,fire,charge,65.0,-50,
flame_burst,はじけるほのお,fire,charge,70.0,-55,
fire_blast,だいもんじ,fire,charge,140.0,-80,
fire_punch,ほのおのパンチ,fire,charge,60.0,-40,
overheat,オーバーヒート,fire,charge,130.0,-55,
weather_ball_fire,ウェザーボール(ほのお),fire,charge,60.0,-35,
blast_burn,ブラストバーン,fire,charge,110.0,-50,
blaze_kick,ブレイズキック,fire,charge,60.0,-40,
techno_blast_burn,テクノバスター(ほのお),fire,charge,120.0,-55,
v_create,Vジェネレート,fire,charge,95.0,-40,
sacred_fire,せいなるほのお,fire,charge,130.0,-65,
sacred_fire_plus,せいなるほのお+,fire,charge,130.0,-65,
sacred_fire_plus_plus,せいなるほのお++,fire,charge,130.0,-65,
fusion_flare,クロスフレイム,fire,charge,90.0,-45,
mystical_fire,マジカルフレイム,fire,charge,60.0,-45,
magma_storm,マグマストーム,fire,charge,65.0,-40,
torch_song,フレアソング,fire,charge,70.0,-45,
mind_blown,ビックリヘッド,fire,charge,90.0,-35,
pyro_ball,かえんボール,fire,charge,75.0,-40,
ember_fast,ひのこ,fire,fast,4.0,9,2
fire_fang_fast,ほのおのキバ,fire,fast,8.0,6,2
fire_spin_fast,ほのおのうず,fire,fast,11.0,10,3
incinerate_fast,やきつくす,fire,fast,20.0,20,5
drill_peck,ドリルくちばし,flying,charge,70.0,-40,
aerial_ace,つばめがえし,flying,charge,60.0,-45,
air_cutter,エアカッター,flying,charge,45.0,-35,
hurricane,ぼうふう,flying,charge,110.0,-65,
brave_bird,ブレイブバード,flying,charge,130.0,-55,
sky_attack,ゴッドバード,flying,charge,75.0,-50,
aeroblast,エアロブラスト,flying,charge,170.0,-75,
fly,そらをとぶ,flying,charge,80.0,-45,
feather_dance,フェザーダンス,flying,charge,35.0,-50,
aeroblast_plus,エアロブラスト+,flying,charge,170.0,-75,
aeroblast_plus_plus,エアロブラスト++,flying,charge,170.0,-75,
acrobatics,アクロバット,flying,charge,110.0,-55,
dragon_ascent,ガリョウテンセイ,flying,charge,150.0,-70,
oblivion_wing,デスウイング,flying,charge,85.0,-50,
bleakwind_storm,つばめがえし,flying,charge,60.0,-45,
beak_blast,くちばしキャノン,flying,charge,110.0,-55,
wing_attack_fast,つばさでうつ,flying,fast,5.0,8,2
peck_fast,つつく,flying,fast,6.0,8,2
air_slash_fast,エアスラッシュ,flying,fast,9.0,9,3
gust_fast,かぜおこし,flying,fast,16.0,12,4
shadow_sneak,かげうち,ghost,charge,75.0,-50,
shadow_punch,シャドーパンチ,ghost,charge,55.0,-35,
ominous_wind,あやしいかぜ,ghost,charge,45.0,-45,
shadow_ball,シャドーボール,ghost,charge,100.0,-50,
night_shade,ナイトヘッド,ghost,charge,70.0,-45,
shadow_bone,シャドーボーン,ghost,charge,80.0,-45,
shadow_force,シャドーダイブ,ghost,charge,120.0,-90,
poltergeist,ポルターガイスト,ghost,charge,150.0,-75,
spirit_shackle,かげぬい,ghost,charge,50.0,-40,
moongeist_beam,シャドーレイ,ghost,charge,135.0,-65,
rage_fist,ふんどのこぶし,ghost,charge,50.0,-35,
lick_fast,したでなめる,ghost,fast,3.0,3,1
shadow_claw_fast,シャドークロー,ghost,fast,6.0,8,2
astonish_fast,おどろかす,ghost,fast,12.0,10,3
hex_fast,たたりめ,ghost,fast,7.0,13,3
petal_blizzard,はなふぶき,grass,charge,110.0,-65,
mega_drain,メガドレイン,grass,charge,25.0,-55,
seed_bomb,タネばくだん,grass,charge,55.0,-40,
giga_drain,ギガドレイン,grass,charge,50.0,-80,
solar_beam,ソーラービーム,grass,charge,150.0,-80,
leaf_blade,リーフブレード,grass,charge,70.0,-35,
power_whip,パワーウィップ,grass,charge,90.0,-50,
grass_knot,くさむすび,grass,charge,90.0,-50,
energy_ball,エナジーボール,grass,charge,90.0,-55,
frenzy_plant,ハードプラント,grass,charge,100.0,-45,
leaf_tornado,グラスミキサー,grass,charge,45.0,-40,
leaf_storm,リーフストーム,grass,charge,130.0,-55,
seed_flare,シードフレア,grass,charge,130.0,-75,
trailblaze,くさわけ,grass,charge,65.0,-45,
flower_trick,トリックフラワー,grass,charge,30.0,-35,
drum_beating,ドラムアタック,grass,charge,60.0,-35,
vine_whip_fast,つるのムチ,grass,fast,5.0,8,2
razor_leaf_fast,はっぱカッター,grass,fast,9.0,4,2
bullet_seed_fast,タネマシンガン,grass,fast,5.0,13,3
magical_leaf_fast,マジカルリーフ,grass,fast,10.0,10,3
leafage_fast,このは,grass,fast,6.0,8,2
dig,あなをほる,ground,charge,70.0,-50,
earthquake,じしん,ground,charge,110.0,-65,
drill_run,ドリルライナー,ground,charge,80.0,-45,
bone_club,ホネこんぼう,ground,charge,55.0,-35,
bulldoze,じならし,ground,charge,45.0,-45,
mud_bomb,どろばくだん,ground,charge,65.0,-50,
sand_tomb,すなじごく,ground,charge,40.0,-40,
precipice_blades,だんがいのつるぎ,ground,charge,130.0,-60,
earth_power,だいちのちから,ground,charge,90.0,-55,
high_horsepower,10まんばりき,ground,charge,100.0,-60,
scorching_sands,ねっさのだいち,ground,charge,80.0,-50,
sandsear_storm,ねっさのあらし,ground,charge,60.0,-45,
mud_shot_fast,マッドショット,ground,fast,3.0,9,2
mud_slap_fast,どろかけ,ground,fast,11.0,10,3
sand_attack_fast,すなかけ,ground,fast,2.0,4,1
ice_punch,れいとうパンチ,ice,charge,60.0,-40,
ice_beam,れいとうビーム,ice,charge,90.0,-55,
blizzard,ふぶき,ice,charge,140.0,-75,
icy_wind,こごえるかぜ,ice,charge,60.0,-45,
aurora_beam,オーロラビーム,ice,charge,80.0,-60,
avalanche,ゆきなだれ,ice,charge,90.0,-45,
weather_ball_ice,ウェザーボール(こおり),ice,charge,60.0,-35,
techno_blast_chill,テクノバスター(こおり),ice,charge,120.0,-55,
icicle_spear,つららばり,ice,charge,70.0,-40,
glaciate,こごえるせかい,ice,charge,60.0,-40,
triple_axel,トリプルアクセル,ice,charge,60.0,-45,
freeze_shock,フリーズボルト,ice,charge,120.0,-60,
ice_burn,コールドフレア,ice,charge,120.0,-60,
ice_shard_fast,こおりのつぶて,ice,fast,9.0,10,3
frost_breath_fast,こおりのいぶき,ice,fast,7.0,5,2
powder_snow_fast,こなゆき,ice,fast,6.0,8,2
ice_fang_fast,こおりのキバ,ice,fast,8.0,6,2
wrap,まきつく,normal,charge,60.0,-45,
hyper_beam,はかいこうせん,normal,charge,150.0,-80,
vice_grip,はさむ,normal,charge,70.0,-40,
swift,スピードスター,normal,charge,55.0,-35,
horn_attack,つのでつく,normal,charge,40.0,-35,
stomp,ふみつけ,normal,charge,55.0,-40,
hyper_fang,ひっさつまえば,normal,charge,80.0,-50,
body_slam,のしかかり,normal,charge,55.0,-35,
rest,ねむる,normal,charge,50.0,-35,
struggle,わるあがき,normal,charge,35.0,-100,
wrap_green,wrap_green,normal,charge,25.0,-45,
wrap_pink,wrap_pink,normal,charge,25.0,-45,
transform_fast,へんしん,normal,charge,0.0,0,
last_resort,とっておき,normal,charge,90.0,-55,
skull_bash,ロケットずつき,normal,charge,130.0,-75,
giga_impact,ギガインパクト,normal,charge,150.0,-80,
frustration,やつあたり,normal,charge,10.0,-70,
return,おんがえし,normal,charge,130.0,-70,
techno_blast_normal,テクノバスター(ノーマル),normal,charge,120.0,-55,
tri_attack,トライアタック,normal,charge,65.0,-50,
weather_ball_normal,ウェザーボール(ノーマル),normal,charge,60.0,-35,
boomburst,ばくおんぱ,normal,charge,150.0,-70,
crush_grip,にぎりつぶす,normal,charge,110.0,-50,
quick_attack_fast,でんこうせっか,normal,fast,5.0,8,2
scratch_fast,ひっかく,normal,fast,4.0,2,1
tackle_fast,たいあたり,normal,fast,3.0,3,1
pound_fast,はたく,normal,fast,4.0,4,2
cut_fast,いあいぎり,normal,fast,3.0,2,1
hidden_power_fast,めざめるパワー,normal,fast,9.0,8,3
take_down_fast,とっしん,normal,fast,5.0,8,3
yawn_fast,あくび,normal,fast,0.0,12,4
present_fast,プレゼント,normal,fast,3.0,12,3
lock_on_fast,ロックオン,normal,fast,1.0,5,1
sludge,ヘドロこうげき,poison,charge,70.0,-40,
poison_fang,どくどくのキバ,poison,charge,45.0,-40,
cross_poison,クロスポイズン,poison,charge,50.0,-35,
sludge_bomb,ヘドロばくだん,poison,charge,80.0,-50,
sludge_wave,ヘドロウェーブ,poison,charge,110.0,-65,
gunk_shot,ダストシュート,poison,charge,130.0,-75,
acid_spray,アッシドボム,poison,charge,20.0,-45,
poison_jab_fast,どくづき,poison,fast,7.0,7,2
acid_fast,ようかいえき,poison,fast,6.0,8,2
poison_sting_fast,どくばり,poison,fast,4.0,9,2
psybeam,サイケこうせん,psychic,charge,70.0,-60,
heart_stamp,ハートスタンプ,psychic,charge,40.0,-40,
psyshock,サイコショック,psychic,charge,70.0,-40,
psychic,サイコキネシス,psychic,charge,75.0,-55,
psystrike,サイコブレイク,psychic,charge,90.0,-45,
futuresight,みらいよち,psychic,charge,110.0,-65,
mirror_coat,ミラーコート,psychic,charge,60.0,-55,
psycho_boost,サイコブースト,psychic,charge,70.0,-35,
synchronoise,シンクロノイズ,psychic,charge,80.0,-50,
psychic_fangs,サイコファング,psychic,charge,40.0,-35,
luster_purge,ラスターパージ,psychic,charge,120.0,-60,
mist_ball,ミスとボール,psychic,charge,120.0,-60,
psycho_cut_fast,サイコカッター,psychic,fast,4.0,9,2
zen_headbutt_fast,しねんのずつき,psychic,fast,8.0,6,3
confusion_fast,ねんりき,psychic,fast,16.0,14,4
extrasensory_fast,じんつうりき,psychic,fast,8.0,10,3
psywave_fast,サイコウェーブ,psychic,fast,3.0,4,1
stone_edge,ストーンエッジ,rock,charge,100.0,-55,
ancient_power,げんしのちから,rock,charge,60.0,-45,
rock_tomb,がんせきふうじ,rock,charge,75.0,-50,
rock_slide,いわなだれ,rock,charge,75.0,-45,
power_gem,パワージェム,rock,charge,85.0,-50,
rock_blast,ロックブラスト,rock,charge,50.0,-40,
weather_ball_rock,ウェザーボール(いわ),rock,charge,60.0,-35,
rock_wrecker,がんせきほう,rock,charge,110.0,-50,
meteor_beam,メテオビーム,rock,charge,120.0,-60,
rock_throw_fast,いわおとし,rock,fast,8.0,5,2
smack_down_fast,うちおとす,rock,fast,11.0,8,3
rollout_fast,ころがる,rock,fast,7.0,13,3
flash_cannon,ラスターカノン,steel,charge,110.0,-70,
magnet_bomb,マグネットボム,steel,charge,70.0,-45,
iron_head,アイアンヘッド,steel,charge,70.0,-50,
gyro_ball,ジャイロボール,steel,charge,80.0,-50,
heavy_slam,ヘビーボンバー,steel,charge,70.0,-50,
doom_desire,はめつのねがい,steel,charge,80.0,-40,
meteor_mash,コメットパンチ,steel,charge,100.0,-45,
mirror_shot,ミラーショット,steel,charge,35.0,-35,
double_iron_bash,ダブルパンツァー,steel,charge,55.0,-35,
sunsteel_strike,メテオドライブ,steel,charge,135.0,-65,
behemoth_blade,きょじゅうざん,steel,charge,100.0,-55,
behemoth_bash,きょじゅうだん,steel,charge,80.0,-45,
gigaton_hammer,デカハンマー,steel,charge,130.0,-60,
metal_claw_fast,メタルクロー,steel,fast,5.0,7,2
bullet_punch_fast,バレットパンチ,steel,fast,7.0,7,2
steel_wing_fast,はがねのつばさ,steel,fast,7.0,5,2
iron_tail_fast,アイアンテール,steel,fast,10.0,7,3
metal_sound_fast,きんぞくおん,steel,fast,5.0,8,2
bubble_beam,バブルこうせん,water,charge,25.0,-40,
aqua_jet,アクアジェット,water,charge,70.0,-40,
aqua_tail,アクアテール,water,charge,55.0,-35,
brine,しおみず,water,charge,60.0,-50,
water_pulse,みずのはどう,water,charge,80.0,-50,
scald,ねっとう,water,charge,85.0,-50,
hydro_pump,ハイドロポンプ,water,charge,130.0,-75,
scald_blastoise,scald_blastoise,water,charge,50.0,-80,
hydro_pump_blastoise,hydro_pump_blastoise,water,charge,90.0,-80,
surf,なみのり,water,charge,75.0,-45,
origin_pulse,こんげんのはどう,water,charge,130.0,-60,
weather_ball_water,ウェザーボール(みず),water,charge,60.0,-35,
hydro_cannon,ハイドロカノン,water,charge,80.0,-40,
crabhammer,クラブハンマー,water,charge,85.0,-50,
octazooka,オクタンほう,water,charge,50.0,-50,
muddy_water,だくりゅう,water,charge,35.0,-35,
razor_shell,シェルブレード,water,charge,35.0,-35,
techno_blast_water,テクノバスター(みず),water,charge,120.0,-55,
liquidation,アクアブレイク,water,charge,70.0,-45,
sparkling_aria,うたかたのアリア,water,charge,80.0,-45,
aqua_step,アクアステップ,water,charge,55.0,-40,
chilling_water,ひやみず,water,charge,60.0,-45,
water_gun_fast,みずでっぽう,water,fast,3.0,3,1
splash_fast,はねる,water,fast,0.0,12,4
water_gun_fast_blastoise,water_gun_fast_blastoise,water,fast,6.0,4,1.0
bubble_fast,あわ,water,fast,8.0,11,3
waterfall_fast,たきのぼり,water,fast,11.0,10,3
water_shuriken_fast,みずしゅりけん,water,fast,6.0,14,3
